Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.533 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.603 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.688 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.688 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.688 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.688 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.758 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.935 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.935 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.935 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.936 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.970 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:39 test-miner-229 go-filecoin[21195]: Jun 24 11:26:39.120 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:39 test-miner-229 go-filecoin[21195]: Jun 24 11:26:39.121 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:39 test-miner-229 go-filecoin[21195]: Jun 24 11:26:39.121 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:39 test-miner-229 go-filecoin[21195]: Jun 24 11:26:39.122 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
